Respondent_ID,Survey_Date,Year,Month_Num,Department,Age_Group,Sex,Question_Domain,Question_Code,Question_Text,Satisfaction_Response
R00010,2023-01-03,2023,1,Laboratory,18-30,Male,Respect,RES1,How would you rate the courtesy and respect shown to you by staff?,Satisfied
R00010,2023-01-03,2023,1,Laboratory,18-30,Male,Respect,RES2,Did you feel your privacy and dignity were maintained during your visit?,Satisfied
R00010,2023-01-03,2023,1,Laboratory,18-30,Male,Information,INF1,Were you given clear information about your medication and how to use it?,Neutral
R00010,2023-01-03,2023,1,Laboratory,18-30,Male,Information,INF2,"Did you receive adequate information about follow-up care or referral, if needed?",Neutral
R00011,2023-01-07,2023,1,Laboratory,18-30,Male,Access,ACC1,How would you rate the waiting time you experienced before receiving service?,Neutral
R00011,2023-01-07,2023,1,Laboratory,18-30,Male,Access,ACC2,How satisfied are you with the facility's operating hours and appointment availability?,Satisfied
R00011,2023-01-07,2023,1,Laboratory,18-30,Male,Communication,COM1,How clearly did the health worker explain your diagnosis and treatment plan?,Satisfied
R00011,2023-01-07,2023,1,Laboratory,18-30,Male,Communication,COM2,Were you given enough opportunity to ask questions and raise concerns?,Satisfied
R00011,2023-01-07,2023,1,Laboratory,18-30,Male,Respect,RES1,How would you rate the courtesy and respect shown to you by staff?,Neutral
R00011,2023-01-07,2023,1,Laboratory,18-30,Male,Respect,RES2,Did you feel your privacy and dignity were maintained during your visit?,Satisfied
R00011,2023-01-07,2023,1,Laboratory,18-30,Male,Information,INF1,Were you given clear information about your medication and how to use it?,Satisfied
R00011,2023-01-07,2023,1,Laboratory,18-30,Male,Information,INF2,"Did you receive adequate information about follow-up care or referral, if needed?",Satisfied
R00012,2023-01-14,2023,1,Laboratory,18-30,Male,Access,ACC1,How would you rate the waiting time you experienced before receiving service?,Satisfied
R00012,2023-01-14,2023,1,Laboratory,18-30,Male,Access,ACC2,How satisfied are you with the facility's operating hours and appointment availability?,Satisfied
R00012,2023-01-14,2023,1,Laboratory,18-30,Male,Communication,COM1,How clearly did the health worker explain your diagnosis and treatment plan?,Satisfied
R00012,2023-01-14,2023,1,Laboratory,18-30,Male,Communication,COM2,Were you given enough opportunity to ask questions and raise concerns?,Unsatisfied
R00012,2023-01-14,2023,1,Laboratory,18-30,Male,Respect,RES1,How would you rate the courtesy and respect shown to you by staff?,Neutral
R00012,2023-01-14,2023,1,Laboratory,18-30,Male,Respect,RES2,Did you feel your privacy and dignity were maintained during your visit?,Neutral
R00012,2023-01-14,2023,1,Laboratory,18-30,Male,Information,INF1,Were you given clear information about your medication and how to use it?,Neutral
R00012,2023-01-14,2023,1,Laboratory,18-30,Male,Information,INF2,"Did you receive adequate information about follow-up care or referral, if needed?",Satisfied
R00013,2023-01-23,2023,1,Laboratory,46-60,Female,Access,ACC1,How would you rate the waiting time you experienced before receiving service?,Satisfied
R00013,2023-01-23,2023,1,Laboratory,46-60,Female,Access,ACC2,How satisfied are you with the facility's operating hours and appointment availability?,Satisfied
R00013,2023-01-23,2023,1,Laboratory,46-60,Female,Communication,COM1,How clearly did the health worker explain your diagnosis and treatment plan?,Neutral
R00013,2023-01-23,2023,1,Laboratory,46-60,Female,Communication,COM2,Were you given enough opportunity to ask questions and raise concerns?,Satisfied
R00013,2023-01-23,2023,1,Laboratory,46-60,Female,Respect,RES1,How would you rate the courtesy and respect shown to you by staff?,Neutral
R00013,2023-01-23,2023,1,Laboratory,46-60,Female,Respect,RES2,Did you feel your privacy and dignity were maintained during your visit?,Satisfied
R00013,2023-01-23,2023,1,Laboratory,46-60,Female,Information,INF1,Were you given clear information about your medication and how to use it?,Neutral
R00013,2023-01-23,2023,1,Laboratory,46-60,Female,Information,INF2,"Did you receive adequate information about follow-up care or referral, if needed?",Unsatisfied
R00014,2023-01-25,2023,1,Laboratory,<18,Female,Access,ACC1,How would you rate the waiting time you experienced before receiving service?,Satisfied
R00014,2023-01-25,2023,1,Laboratory,<18,Female,Access,ACC2,How satisfied are you with the facility's operating hours and appointment availability?,Satisfied
R00014,2023-01-25,2023,1,Laboratory,<18,Female,Communication,COM1,How clearly did the health worker explain your diagnosis and treatment plan?,Neutral
R00014,2023-01-25,2023,1,Laboratory,<18,Female,Communication,COM2,Were you given enough opportunity to ask questions and raise concerns?,Satisfied
R00014,2023-01-25,2023,1,Laboratory,<18,Female,Respect,RES1,How would you rate the courtesy and respect shown to you by staff?,Neutral
R00014,2023-01-25,2023,1,Laboratory,<18,Female,Respect,RES2,Did you feel your privacy and dignity were maintained during your visit?,Neutral
R00014,2023-01-25,2023,1,Laboratory,<18,Female,Information,INF1,Were you given clear information about your medication and how to use it?,Neutral
R00014,2023-01-25,2023,1,Laboratory,<18,Female,Information,INF2,"Did you receive adequate information about follow-up care or referral, if needed?",Neutral
R00015,2023-01-13,2023,1,Laboratory,<18,Female,Access,ACC1,How would you rate the waiting time you experienced before receiving service?,Satisfied
R00015,2023-01-13,2023,1,Laboratory,<18,Female,Access,ACC2,How satisfied are you with the facility's operating hours and appointment availability?,Satisfied
R00015,2023-01-13,2023,1,Laboratory,<18,Female,Communication,COM1,How clearly did the health worker explain your diagnosis and treatment plan?,Unsatisfied
R00015,2023-01-13,2023,1,Laboratory,<18,Female,Communication,COM2,Were you given enough opportunity to ask questions and raise concerns?,Neutral
R00015,2023-01-13,2023,1,Laboratory,<18,Female,Respect,RES1,How would you rate the courtesy and respect shown to you by staff?,Satisfied
R00015,2023-01-13,2023,1,Laboratory,<18,Female,Respect,RES2,Did you feel your privacy and dignity were maintained during your visit?,Satisfied
R00015,2023-01-13,2023,1,Laboratory,<18,Female,Information,INF1,Were you given clear information about your medication and how to use it?,Satisfied
R00015,2023-01-13,2023,1,Laboratory,<18,Female,Information,INF2,"Did you receive adequate information about follow-up care or referral, if needed?",Neutral
R00016,2023-01-06,2023,1,Laboratory,31-45,Male,Access,ACC1,How would you rate the waiting time you experienced before receiving service?,Satisfied
R00016,2023-01-06,2023,1,Laboratory,31-45,Male,Access,ACC2,How satisfied are you with the facility's operating hours and appointment availability?,Satisfied
R00016,2023-01-06,2023,1,Laboratory,31-45,Male,Communication,COM1,How clearly did the health worker explain your diagnosis and treatment plan?,Satisfied
R00016,2023-01-06,2023,1,Laboratory,31-45,Male,Communication,COM2,Were you given enough opportunity to ask questions and raise concerns?,Satisfied
R00016,2023-01-06,2023,1,Laboratory,31-45,Male,Respect,RES1,How would you rate the courtesy and respect shown to you by staff?,Neutral
R00016,2023-01-06,2023,1,Laboratory,31-45,Male,Respect,RES2,Did you feel your privacy and dignity were maintained during your visit?,Unsatisfied
R00016,2023-01-06,2023,1,Laboratory,31-45,Male,Information,INF1,Were you given clear information about your medication and how to use it?,Neutral
R00016,2023-01-06,2023,1,Laboratory,31-45,Male,Information,INF2,"Did you receive adequate information about follow-up care or referral, if needed?",Satisfied
R00017,2023-01-22,2023,1,Delivery Ward,<18,Female,Access,ACC1,How would you rate the waiting time you experienced before receiving service?,Satisfied
R00017,2023-01-22,2023,1,Delivery Ward,<18,Female,Access,ACC2,How satisfied are you with the facility's operating hours and appointment availability?,Neutral
R00017,2023-01-22,2023,1,Delivery Ward,<18,Female,Communication,COM1,How clearly did the health worker explain your diagnosis and treatment plan?,Neutral
R00017,2023-01-22,2023,1,Delivery Ward,<18,Female,Communication,COM2,Were you given enough opportunity to ask questions and raise concerns?,Satisfied
R00017,2023-01-22,2023,1,Delivery Ward,<18,Female,Respect,RES1,How would you rate the courtesy and respect shown to you by staff?,Neutral
R00017,2023-01-22,2023,1,Delivery Ward,<18,Female,Respect,RES2,Did you feel your privacy and dignity were maintained during your visit?,Satisfied
R00017,2023-01-22,2023,1,Delivery Ward,<18,Female,Information,INF1,Were you given clear information about your medication and how to use it?,Satisfied
R00017,2023-01-22,2023,1,Delivery Ward,<18,Female,Information,INF2,"Did you receive adequate information about follow-up care or referral, if needed?",Neutral
R00018,2023-01-06,2023,1,Delivery Ward,18-30,Male,Access,ACC1,How would you rate the waiting time you experienced before receiving service?,Neutral
R00018,2023-01-06,2023,1,Delivery Ward,18-30,Male,Access,ACC2,How satisfied are you with the facility's operating hours and appointment availability?,Unsatisfied
R00018,2023-01-06,2023,1,Delivery Ward,18-30,Male,Communication,COM1,How clearly did the health worker explain your diagnosis and treatment plan?,Unsatisfied
R00018,2023-01-06,2023,1,Delivery Ward,18-30,Male,Communication,COM2,Were you given enough opportunity to ask questions and raise concerns?,Neutral
R00018,2023-01-06,2023,1,Delivery Ward,18-30,Male,Respect,RES1,How would you rate the courtesy and respect shown to you by staff?,Neutral
R00018,2023-01-06,2023,1,Delivery Ward,18-30,Male,Respect,RES2,Did you feel your privacy and dignity were maintained during your visit?,Neutral
R00018,2023-01-06,2023,1,Delivery Ward,18-30,Male,Information,INF1,Were you given clear information about your medication and how to use it?,Satisfied
R00018,2023-01-06,2023,1,Delivery Ward,18-30,Male,Information,INF2,"Did you receive adequate information about follow-up care or referral, if needed?",Unsatisfied
R00019,2023-01-16,2023,1,Delivery Ward,46-60,Male,Access,ACC1,How would you rate the waiting time you experienced before receiving service?,Neutral
R00019,2023-01-16,2023,1,Delivery Ward,46-60,Male,Access,ACC2,How satisfied are you with the facility's operating hours and appointment availability?,Neutral
R00019,2023-01-16,2023,1,Delivery Ward,46-60,Male,Communication,COM1,How clearly did the health worker explain your diagnosis and treatment plan?,Neutral
R00019,2023-01-16,2023,1,Delivery Ward,46-60,Male,Communication,COM2,Were you given enough opportunity to ask questions and raise concerns?,Neutral
R00019,2023-01-16,2023,1,Delivery Ward,46-60,Male,Respect,RES1,How would you rate the courtesy and respect shown to you by staff?,Neutral
R00019,2023-01-16,2023,1,Delivery Ward,46-60,Male,Respect,RES2,Did you feel your privacy and dignity were maintained during your visit?,Satisfied
R00019,2023-01-16,2023,1,Delivery Ward,46-60,Male,Information,INF1,Were you given clear information about your medication and how to use it?,Satisfied
R00019,2023-01-16,2023,1,Delivery Ward,46-60,Male,Information,INF2,"Did you receive adequate information about follow-up care or referral, if needed?",Neutral
R00020,2023-01-11,2023,1,Delivery Ward,60+,Male,Access,ACC1,How would you rate the waiting time you experienced before receiving service?,Satisfied
R00020,2023-01-11,2023,1,Delivery Ward,60+,Male,Access,ACC2,How satisfied are you with the facility's operating hours and appointment availability?,Neutral
R00020,2023-01-11,2023,1,Delivery Ward,60+,Male,Communication,COM1,How clearly did the health worker explain your diagnosis and treatment plan?,Neutral
R00020,2023-01-11,2023,1,Delivery Ward,60+,Male,Communication,COM2,Were you given enough opportunity to ask questions and raise concerns?,Satisfied
R00020,2023-01-11,2023,1,Delivery Ward,60+,Male,Respect,RES1,How would you rate the courtesy and respect shown to you by staff?,Satisfied
R00020,2023-01-11,2023,1,Delivery Ward,60+,Male,Respect,RES2,Did you feel your privacy and dignity were maintained during your visit?,Satisfied
R00020,2023-01-11,2023,1,Delivery Ward,60+,Male,Information,INF1,Were you given clear information about your medication and how to use it?,Neutral
R00020,2023-01-11,2023,1,Delivery Ward,60+,Male,Information,INF2,"Did you receive adequate information about follow-up care or referral, if needed?",Satisfied
R00021,2023-01-13,2023,1,Delivery Ward,60+,Male,Access,ACC1,How would you rate the waiting time you experienced before receiving service?,Satisfied
R00021,2023-01-13,2023,1,Delivery Ward,60+,Male,Access,ACC2,How satisfied are you with the facility's operating hours and appointment availability?,Satisfied
R00021,2023-01-13,2023,1,Delivery Ward,60+,Male,Communication,COM1,How clearly did the health worker explain your diagnosis and treatment plan?,Satisfied
R00021,2023-01-13,2023,1,Delivery Ward,60+,Male,Communication,COM2,Were you given enough opportunity to ask questions and raise concerns?,Neutral
R00021,2023-01-13,2023,1,Delivery Ward,60+,Male,Respect,RES1,How would you rate the courtesy and respect shown to you by staff?,Satisfied
R00021,2023-01-13,2023,1,Delivery Ward,60+,Male,Respect,RES2,Did you feel your privacy and dignity were maintained during your visit?,Satisfied
R00021,2023-01-13,2023,1,Delivery Ward,60+,Male,Information,INF1,Were you given clear information about your medication and how to use it?,Unsatisfied
R00021,2023-01-13,2023,1,Delivery Ward,60+,Male,Information,INF2,"Did you receive adequate information about follow-up care or referral, if needed?",Satisfied
R00022,2023-01-03,2023,1,Delivery Ward,18-30,Female,Access,ACC1,How would you rate the waiting time you experienced before receiving service?,Neutral
R00022,2023-01-03,2023,1,Delivery Ward,18-30,Female,Access,ACC2,How satisfied are you with the facility's operating hours and appointment availability?,Satisfied
R00022,2023-01-03,2023,1,Delivery Ward,18-30,Female,Communication,COM1,How clearly did the health worker explain your diagnosis and treatment plan?,Neutral
R00022,2023-01-03,2023,1,Delivery Ward,18-30,Female,Communication,COM2,Were you given enough opportunity to ask questions and raise concerns?,Satisfied
R00022,2023-01-03,2023,1,Delivery Ward,18-30,Female,Respect,RES1,How would you rate the courtesy and respect shown to you by staff?,Unsatisfied
R00022,2023-01-03,2023,1,Delivery Ward,18-30,Female,Respect,RES2,Did you feel your privacy and dignity were maintained during your visit?,Neutral
R00022,2023-01-03,2023,1,Delivery Ward,18-30,Female,Information,INF1,Were you given clear information about your medication and how to use it?,Neutral
R00022,2023-01-03,2023,1,Delivery Ward,18-30,Female,Information,INF2,"Did you receive adequate information about follow-up care or referral, if needed?",Neutral
R00023,2023-01-03,2023,1,Outpatient,31-45,Female,Access,ACC1,How would you rate the waiting time you experienced before receiving service?,Neutral
R00023,2023-01-03,2023,1,Outpatient,31-45,Female,Access,ACC2,How satisfied are you with the facility's operating hours and appointment availability?,Unsatisfied
R00023,2023-01-03,2023,1,Outpatient,31-45,Female,Communication,COM1,How clearly did the health worker explain your diagnosis and treatment plan?,Unsatisfied
R00023,2023-01-03,2023,1,Outpatient,31-45,Female,Communication,COM2,Were you given enough opportunity to ask questions and raise concerns?,Neutral
R00023,2023-01-03,2023,1,Outpatient,31-45,Female,Respect,RES1,How would you rate the courtesy and respect shown to you by staff?,Neutral
R00023,2023-01-03,2023,1,Outpatient,31-45,Female,Respect,RES2,Did you feel your privacy and dignity were maintained during your visit?,Neutral
R00023,2023-01-03,2023,1,Outpatient,31-45,Female,Information,INF1,Were you given clear information about your medication and how to use it?,Neutral
R00023,2023-01-03,2023,1,Outpatient,31-45,Female,Information,INF2,"Did you receive adequate information about follow-up care or referral, if needed?",Neutral
R00024,2023-01-17,2023,1,Outpatient,60+,Male,Access,ACC1,How would you rate the waiting time you experienced before receiving service?,Unsatisfied
R00024,2023-01-17,2023,1,Outpatient,60+,Male,Access,ACC2,How satisfied are you with the facility's operating hours and appointment availability?,Neutral
R00024,2023-01-17,2023,1,Outpatient,60+,Male,Communication,COM1,How clearly did the health worker explain your diagnosis and treatment plan?,Satisfied
R00024,2023-01-17,2023,1,Outpatient,60+,Male,Communication,COM2,Were you given enough opportunity to ask questions and raise concerns?,Satisfied
R00024,2023-01-17,2023,1,Outpatient,60+,Male,Respect,RES1,How would you rate the courtesy and respect shown to you by staff?,Neutral
R00024,2023-01-17,2023,1,Outpatient,60+,Male,Respect,RES2,Did you feel your privacy and dignity were maintained during your visit?,Unsatisfied
R00024,2023-01-17,2023,1,Outpatient,60+,Male,Information,INF1,Were you given clear information about your medication and how to use it?,Unsatisfied
R00024,2023-01-17,2023,1,Outpatient,60+,Male,Information,INF2,"Did you receive adequate information about follow-up care or referral, if needed?",Neutral
R00025,2023-01-15,2023,1,Outpatient,31-45,Male,Access,ACC1,How would you rate the waiting time you experienced before receiving service?,Neutral
R00025,2023-01-15,2023,1,Outpatient,31-45,Male,Access,ACC2,How satisfied are you with the facility's operating hours and appointment availability?,Neutral
R00025,2023-01-15,2023,1,Outpatient,31-45,Male,Communication,COM1,How clearly did the health worker explain your diagnosis and treatment plan?,Satisfied
R00025,2023-01-15,2023,1,Outpatient,31-45,Male,Communication,COM2,Were you given enough opportunity to ask questions and raise concerns?,Neutral
R00025,2023-01-15,2023,1,Outpatient,31-45,Male,Respect,RES1,How would you rate the courtesy and respect shown to you by staff?,Neutral
R00025,2023-01-15,2023,1,Outpatient,31-45,Male,Respect,RES2,Did you feel your privacy and dignity were maintained during your visit?,Satisfied
R00025,2023-01-15,2023,1,Outpatient,31-45,Male,Information,INF1,Were you given clear information about your medication and how to use it?,Unsatisfied
R00025,2023-01-15,2023,1,Outpatient,31-45,Male,Information,INF2,"Did you receive adequate information about follow-up care or referral, if needed?",Satisfied
R00026,2023-02-21,2023,2,Emergency,46-60,Female,Access,ACC1,How would you rate the waiting time you experienced before receiving service?,Satisfied
R00026,2023-02-21,2023,2,Emergency,46-60,Female,Access,ACC2,How satisfied are you with the facility's operating hours and appointment availability?,Neutral
R00026,2023-02-21,2023,2,Emergency,46-60,Female,Communication,COM1,How clearly did the health worker explain your diagnosis and treatment plan?,Satisfied
R00026,2023-02-21,2023,2,Emergency,46-60,Female,Communication,COM2,Were you given enough opportunity to ask questions and raise concerns?,Neutral
R00026,2023-02-21,2023,2,Emergency,46-60,Female,Respect,RES1,How would you rate the courtesy and respect shown to you by staff?,Unsatisfied
R00026,2023-02-21,2023,2,Emergency,46-60,Female,Respect,RES2,Did you feel your privacy and dignity were maintained during your visit?,Neutral
R00026,2023-02-21,2023,2,Emergency,46-60,Female,Information,INF1,Were you given clear information about your medication and how to use it?,Neutral
R00026,2023-02-21,2023,2,Emergency,46-60,Female,Information,INF2,"Did you receive adequate information about follow-up care or referral, if needed?",Neutral
R00027,2023-02-13,2023,2,Emergency,31-45,Female,Access,ACC1,How would you rate the waiting time you experienced before receiving service?,Neutral
R00027,2023-02-13,2023,2,Emergency,31-45,Female,Access,ACC2,How satisfied are you with the facility's operating hours and appointment availability?,Satisfied
R00027,2023-02-13,2023,2,Emergency,31-45,Female,Communication,COM1,How clearly did the health worker explain your diagnosis and treatment plan?,Satisfied
R00027,2023-02-13,2023,2,Emergency,31-45,Female,Communication,COM2,Were you given enough opportunity to ask questions and raise concerns?,Satisfied
