Year,Month_Num,Month_Name,Department,KPI_Category,Indicator,Unit,Direction,Target,Actual
2025,12,December,Delivery Ward,Resource Availability,Delivery_Bed_Availability_Rate_Pct,%,higher,90.0,61.02
2023,1,January,Delivery Ward,Maternal & Child Health,Institutional_Delivery_Rate_Pct,%,higher,90.0,81.64
2023,2,February,Delivery Ward,Maternal & Child Health,Institutional_Delivery_Rate_Pct,%,higher,90.0,79.75
2023,3,March,Delivery Ward,Maternal & Child Health,Institutional_Delivery_Rate_Pct,%,higher,90.0,75.43
2023,4,April,Delivery Ward,Maternal & Child Health,Institutional_Delivery_Rate_Pct,%,higher,90.0,78.72
2023,5,May,Delivery Ward,Maternal & Child Health,Institutional_Delivery_Rate_Pct,%,higher,90.0,76.8
2023,6,June,Delivery Ward,Maternal & Child Health,Institutional_Delivery_Rate_Pct,%,higher,90.0,78.39
2023,7,July,Delivery Ward,Maternal & Child Health,Institutional_Delivery_Rate_Pct,%,higher,90.0,82.74
2023,8,August,Delivery Ward,Maternal & Child Health,Institutional_Delivery_Rate_Pct,%,higher,90.0,81.28
2023,9,September,Delivery Ward,Maternal & Child Health,Institutional_Delivery_Rate_Pct,%,higher,90.0,78.89
2023,10,October,Delivery Ward,Maternal & Child Health,Institutional_Delivery_Rate_Pct,%,higher,90.0,78.54
2023,11,November,Delivery Ward,Maternal & Child Health,Institutional_Delivery_Rate_Pct,%,higher,90.0,80.92
2023,12,December,Delivery Ward,Maternal & Child Health,Institutional_Delivery_Rate_Pct,%,higher,90.0,78.71
2024,1,January,Delivery Ward,Maternal & Child Health,Institutional_Delivery_Rate_Pct,%,higher,90.0,80.09
2024,2,February,Delivery Ward,Maternal & Child Health,Institutional_Delivery_Rate_Pct,%,higher,90.0,82.34
2024,3,March,Delivery Ward,Maternal & Child Health,Institutional_Delivery_Rate_Pct,%,higher,90.0,84.31
2024,4,April,Delivery Ward,Maternal & Child Health,Institutional_Delivery_Rate_Pct,%,higher,90.0,83.5
2024,5,May,Delivery Ward,Maternal & Child Health,Institutional_Delivery_Rate_Pct,%,higher,90.0,77.99
2024,6,June,Delivery Ward,Maternal & Child Health,Institutional_Delivery_Rate_Pct,%,higher,90.0,83.47
2024,7,July,Delivery Ward,Maternal & Child Health,Institutional_Delivery_Rate_Pct,%,higher,90.0,83.29
2024,8,August,Delivery Ward,Maternal & Child Health,Institutional_Delivery_Rate_Pct,%,higher,90.0,84.26
2024,9,September,Delivery Ward,Maternal & Child Health,Institutional_Delivery_Rate_Pct,%,higher,90.0,86.95
2024,10,October,Delivery Ward,Maternal & Child Health,Institutional_Delivery_Rate_Pct,%,higher,90.0,79.87
2024,11,November,Delivery Ward,Maternal & Child Health,Institutional_Delivery_Rate_Pct,%,higher,90.0,83.1
2024,12,December,Delivery Ward,Maternal & Child Health,Institutional_Delivery_Rate_Pct,%,higher,90.0,85.75
2025,1,January,Delivery Ward,Maternal & Child Health,Institutional_Delivery_Rate_Pct,%,higher,90.0,81.69
2025,2,February,Delivery Ward,Maternal & Child Health,Institutional_Delivery_Rate_Pct,%,higher,90.0,88.09
2025,3,March,Delivery Ward,Maternal & Child Health,Institutional_Delivery_Rate_Pct,%,higher,90.0,86.17
2025,4,April,Delivery Ward,Maternal & Child Health,Institutional_Delivery_Rate_Pct,%,higher,90.0,87.41
2025,5,May,Delivery Ward,Maternal & Child Health,Institutional_Delivery_Rate_Pct,%,higher,90.0,84.86
2025,6,June,Delivery Ward,Maternal & Child Health,Institutional_Delivery_Rate_Pct,%,higher,90.0,87.91
2025,7,July,Delivery Ward,Maternal & Child Health,Institutional_Delivery_Rate_Pct,%,higher,90.0,88.71
2025,8,August,Delivery Ward,Maternal & Child Health,Institutional_Delivery_Rate_Pct,%,higher,90.0,87.32
2025,9,September,Delivery Ward,Maternal & Child Health,Institutional_Delivery_Rate_Pct,%,higher,90.0,87.61
2025,10,October,Delivery Ward,Maternal & Child Health,Institutional_Delivery_Rate_Pct,%,higher,90.0,87.97
2025,11,November,Delivery Ward,Maternal & Child Health,Institutional_Delivery_Rate_Pct,%,higher,90.0,85.99
2025,12,December,Delivery Ward,Maternal & Child Health,Institutional_Delivery_Rate_Pct,%,higher,90.0,87.7
2023,1,January,Delivery Ward,Maternal & Child Health,Skilled_Birth_Attendance_Rate_Pct,%,higher,95.0,84.73
2023,2,February,Delivery Ward,Maternal & Child Health,Skilled_Birth_Attendance_Rate_Pct,%,higher,95.0,85.89
2023,3,March,Delivery Ward,Maternal & Child Health,Skilled_Birth_Attendance_Rate_Pct,%,higher,95.0,87.2
2023,4,April,Delivery Ward,Maternal & Child Health,Skilled_Birth_Attendance_Rate_Pct,%,higher,95.0,83.69
2023,5,May,Delivery Ward,Maternal & Child Health,Skilled_Birth_Attendance_Rate_Pct,%,higher,95.0,85.57
2023,6,June,Delivery Ward,Maternal & Child Health,Skilled_Birth_Attendance_Rate_Pct,%,higher,95.0,88.67
2023,7,July,Delivery Ward,Maternal & Child Health,Skilled_Birth_Attendance_Rate_Pct,%,higher,95.0,84.86
2023,8,August,Delivery Ward,Maternal & Child Health,Skilled_Birth_Attendance_Rate_Pct,%,higher,95.0,84.92
2023,9,September,Delivery Ward,Maternal & Child Health,Skilled_Birth_Attendance_Rate_Pct,%,higher,95.0,86.96
2023,10,October,Delivery Ward,Maternal & Child Health,Skilled_Birth_Attendance_Rate_Pct,%,higher,95.0,88.32
2023,11,November,Delivery Ward,Maternal & Child Health,Skilled_Birth_Attendance_Rate_Pct,%,higher,95.0,87.02
2023,12,December,Delivery Ward,Maternal & Child Health,Skilled_Birth_Attendance_Rate_Pct,%,higher,95.0,89.59
2024,1,January,Delivery Ward,Maternal & Child Health,Skilled_Birth_Attendance_Rate_Pct,%,higher,95.0,88.94
2024,2,February,Delivery Ward,Maternal & Child Health,Skilled_Birth_Attendance_Rate_Pct,%,higher,95.0,89.12
2024,3,March,Delivery Ward,Maternal & Child Health,Skilled_Birth_Attendance_Rate_Pct,%,higher,95.0,88.8
2024,4,April,Delivery Ward,Maternal & Child Health,Skilled_Birth_Attendance_Rate_Pct,%,higher,95.0,92.19
2024,5,May,Delivery Ward,Maternal & Child Health,Skilled_Birth_Attendance_Rate_Pct,%,higher,95.0,87.83
2024,6,June,Delivery Ward,Maternal & Child Health,Skilled_Birth_Attendance_Rate_Pct,%,higher,95.0,84.79
2024,7,July,Delivery Ward,Maternal & Child Health,Skilled_Birth_Attendance_Rate_Pct,%,higher,95.0,91.49
2024,8,August,Delivery Ward,Maternal & Child Health,Skilled_Birth_Attendance_Rate_Pct,%,higher,95.0,87.98
2024,9,September,Delivery Ward,Maternal & Child Health,Skilled_Birth_Attendance_Rate_Pct,%,higher,95.0,89.19
2024,10,October,Delivery Ward,Maternal & Child Health,Skilled_Birth_Attendance_Rate_Pct,%,higher,95.0,91.56
2024,11,November,Delivery Ward,Maternal & Child Health,Skilled_Birth_Attendance_Rate_Pct,%,higher,95.0,86.52
2024,12,December,Delivery Ward,Maternal & Child Health,Skilled_Birth_Attendance_Rate_Pct,%,higher,95.0,87.35
2025,1,January,Delivery Ward,Maternal & Child Health,Skilled_Birth_Attendance_Rate_Pct,%,higher,95.0,86.92
2025,2,February,Delivery Ward,Maternal & Child Health,Skilled_Birth_Attendance_Rate_Pct,%,higher,95.0,88.57
2025,3,March,Delivery Ward,Maternal & Child Health,Skilled_Birth_Attendance_Rate_Pct,%,higher,95.0,90.99
2025,4,April,Delivery Ward,Maternal & Child Health,Skilled_Birth_Attendance_Rate_Pct,%,higher,95.0,91.34
2025,5,May,Delivery Ward,Maternal & Child Health,Skilled_Birth_Attendance_Rate_Pct,%,higher,95.0,91.1
2025,6,June,Delivery Ward,Maternal & Child Health,Skilled_Birth_Attendance_Rate_Pct,%,higher,95.0,88.26
2025,7,July,Delivery Ward,Maternal & Child Health,Skilled_Birth_Attendance_Rate_Pct,%,higher,95.0,86.84
2025,8,August,Delivery Ward,Maternal & Child Health,Skilled_Birth_Attendance_Rate_Pct,%,higher,95.0,91.3
2025,9,September,Delivery Ward,Maternal & Child Health,Skilled_Birth_Attendance_Rate_Pct,%,higher,95.0,90.55
2025,10,October,Delivery Ward,Maternal & Child Health,Skilled_Birth_Attendance_Rate_Pct,%,higher,95.0,92.43
2025,11,November,Delivery Ward,Maternal & Child Health,Skilled_Birth_Attendance_Rate_Pct,%,higher,95.0,93.06
2025,12,December,Delivery Ward,Maternal & Child Health,Skilled_Birth_Attendance_Rate_Pct,%,higher,95.0,92.25
2023,1,January,Emergency,Service Efficiency,Avg_Triage_to_Treatment_Time_Min,minutes,lower,15.0,17.55
2023,2,February,Emergency,Service Efficiency,Avg_Triage_to_Treatment_Time_Min,minutes,lower,15.0,15.53
2023,3,March,Emergency,Service Efficiency,Avg_Triage_to_Treatment_Time_Min,minutes,lower,15.0,19.15
2023,4,April,Emergency,Service Efficiency,Avg_Triage_to_Treatment_Time_Min,minutes,lower,15.0,19.89
2023,5,May,Emergency,Service Efficiency,Avg_Triage_to_Treatment_Time_Min,minutes,lower,15.0,15.09
2023,6,June,Emergency,Service Efficiency,Avg_Triage_to_Treatment_Time_Min,minutes,lower,15.0,16.66
2023,7,July,Emergency,Service Efficiency,Avg_Triage_to_Treatment_Time_Min,minutes,lower,15.0,19.63
2023,8,August,Emergency,Service Efficiency,Avg_Triage_to_Treatment_Time_Min,minutes,lower,15.0,19.23
2023,9,September,Emergency,Service Efficiency,Avg_Triage_to_Treatment_Time_Min,minutes,lower,15.0,20.17
2023,10,October,Emergency,Service Efficiency,Avg_Triage_to_Treatment_Time_Min,minutes,lower,15.0,19.06
2023,11,November,Emergency,Service Efficiency,Avg_Triage_to_Treatment_Time_Min,minutes,lower,15.0,22.58
2023,12,December,Emergency,Service Efficiency,Avg_Triage_to_Treatment_Time_Min,minutes,lower,15.0,22.8
2024,1,January,Emergency,Service Efficiency,Avg_Triage_to_Treatment_Time_Min,minutes,lower,15.0,21.92
2024,2,February,Emergency,Service Efficiency,Avg_Triage_to_Treatment_Time_Min,minutes,lower,15.0,24.23
2024,3,March,Emergency,Service Efficiency,Avg_Triage_to_Treatment_Time_Min,minutes,lower,15.0,23.44
2024,4,April,Emergency,Service Efficiency,Avg_Triage_to_Treatment_Time_Min,minutes,lower,15.0,21.45
2024,5,May,Emergency,Service Efficiency,Avg_Triage_to_Treatment_Time_Min,minutes,lower,15.0,24.06
2024,6,June,Emergency,Service Efficiency,Avg_Triage_to_Treatment_Time_Min,minutes,lower,15.0,22.07
2024,7,July,Emergency,Service Efficiency,Avg_Triage_to_Treatment_Time_Min,minutes,lower,15.0,25.78
2024,8,August,Emergency,Service Efficiency,Avg_Triage_to_Treatment_Time_Min,minutes,lower,15.0,24.51
2024,9,September,Emergency,Service Efficiency,Avg_Triage_to_Treatment_Time_Min,minutes,lower,15.0,24.67
2024,10,October,Emergency,Service Efficiency,Avg_Triage_to_Treatment_Time_Min,minutes,lower,15.0,24.17
2024,11,November,Emergency,Service Efficiency,Avg_Triage_to_Treatment_Time_Min,minutes,lower,15.0,28.0
2024,12,December,Emergency,Service Efficiency,Avg_Triage_to_Treatment_Time_Min,minutes,lower,15.0,25.92
2025,1,January,Emergency,Service Efficiency,Avg_Triage_to_Treatment_Time_Min,minutes,lower,15.0,25.83
2025,2,February,Emergency,Service Efficiency,Avg_Triage_to_Treatment_Time_Min,minutes,lower,15.0,26.37
2025,3,March,Emergency,Service Efficiency,Avg_Triage_to_Treatment_Time_Min,minutes,lower,15.0,28.36
2025,4,April,Emergency,Service Efficiency,Avg_Triage_to_Treatment_Time_Min,minutes,lower,15.0,28.46
2025,5,May,Emergency,Service Efficiency,Avg_Triage_to_Treatment_Time_Min,minutes,lower,15.0,28.94
2025,6,June,Emergency,Service Efficiency,Avg_Triage_to_Treatment_Time_Min,minutes,lower,15.0,29.38
2025,7,July,Emergency,Service Efficiency,Avg_Triage_to_Treatment_Time_Min,minutes,lower,15.0,32.85
2025,8,August,Emergency,Service Efficiency,Avg_Triage_to_Treatment_Time_Min,minutes,lower,15.0,28.67
2025,9,September,Emergency,Service Efficiency,Avg_Triage_to_Treatment_Time_Min,minutes,lower,15.0,28.88
2025,10,October,Emergency,Service Efficiency,Avg_Triage_to_Treatment_Time_Min,minutes,lower,15.0,28.74
2025,11,November,Emergency,Service Efficiency,Avg_Triage_to_Treatment_Time_Min,minutes,lower,15.0,31.71
2025,12,December,Emergency,Service Efficiency,Avg_Triage_to_Treatment_Time_Min,minutes,lower,15.0,33.03
2023,1,January,Emergency,Resource Availability,Emergency_Bed_Availability_Rate_Pct,%,higher,90.0,78.78
2023,2,February,Emergency,Resource Availability,Emergency_Bed_Availability_Rate_Pct,%,higher,90.0,80.94
2023,3,March,Emergency,Resource Availability,Emergency_Bed_Availability_Rate_Pct,%,higher,90.0,77.43
2023,4,April,Emergency,Resource Availability,Emergency_Bed_Availability_Rate_Pct,%,higher,90.0,78.02
2023,5,May,Emergency,Resource Availability,Emergency_Bed_Availability_Rate_Pct,%,higher,90.0,73.84
2023,6,June,Emergency,Resource Availability,Emergency_Bed_Availability_Rate_Pct,%,higher,90.0,76.55
2023,7,July,Emergency,Resource Availability,Emergency_Bed_Availability_Rate_Pct,%,higher,90.0,79.39
2023,8,August,Emergency,Resource Availability,Emergency_Bed_Availability_Rate_Pct,%,higher,90.0,77.32
2023,9,September,Emergency,Resource Availability,Emergency_Bed_Availability_Rate_Pct,%,higher,90.0,80.66
2023,10,October,Emergency,Resource Availability,Emergency_Bed_Availability_Rate_Pct,%,higher,90.0,76.48
2023,11,November,Emergency,Resource Availability,Emergency_Bed_Availability_Rate_Pct,%,higher,90.0,76.19
2023,12,December,Emergency,Resource Availability,Emergency_Bed_Availability_Rate_Pct,%,higher,90.0,73.86
2024,1,January,Emergency,Resource Availability,Emergency_Bed_Availability_Rate_Pct,%,higher,90.0,68.21
2024,2,February,Emergency,Resource Availability,Emergency_Bed_Availability_Rate_Pct,%,higher,90.0,71.3
2024,3,March,Emergency,Resource Availability,Emergency_Bed_Availability_Rate_Pct,%,higher,90.0,65.69
2024,4,April,Emergency,Resource Availability,Emergency_Bed_Availability_Rate_Pct,%,higher,90.0,66.04
2024,5,May,Emergency,Resource Availability,Emergency_Bed_Availability_Rate_Pct,%,higher,90.0,67.42
2024,6,June,Emergency,Resource Availability,Emergency_Bed_Availability_Rate_Pct,%,higher,90.0,67.96
2024,7,July,Emergency,Resource Availability,Emergency_Bed_Availability_Rate_Pct,%,higher,90.0,69.93
2024,8,August,Emergency,Resource Availability,Emergency_Bed_Availability_Rate_Pct,%,higher,90.0,68.46
2024,9,September,Emergency,Resource Availability,Emergency_Bed_Availability_Rate_Pct,%,higher,90.0,67.98
2024,10,October,Emergency,Resource Availability,Emergency_Bed_Availability_Rate_Pct,%,higher,90.0,68.92
2024,11,November,Emergency,Resource Availability,Emergency_Bed_Availability_Rate_Pct,%,higher,90.0,61.96
2024,12,December,Emergency,Resource Availability,Emergency_Bed_Availability_Rate_Pct,%,higher,90.0,60.54
2025,1,January,Emergency,Resource Availability,Emergency_Bed_Availability_Rate_Pct,%,higher,90.0,58.17
2025,2,February,Emergency,Resource Availability,Emergency_Bed_Availability_Rate_Pct,%,higher,90.0,56.51
2025,3,March,Emergency,Resource Availability,Emergency_Bed_Availability_Rate_Pct,%,higher,90.0,59.14
2025,4,April,Emergency,Resource Availability,Emergency_Bed_Availability_Rate_Pct,%,higher,90.0,53.23
2025,5,May,Emergency,Resource Availability,Emergency_Bed_Availability_Rate_Pct,%,higher,90.0,54.81
2025,6,June,Emergency,Resource Availability,Emergency_Bed_Availability_Rate_Pct,%,higher,90.0,61.35
2025,7,July,Emergency,Resource Availability,Emergency_Bed_Availability_Rate_Pct,%,higher,90.0,56.75
2025,8,August,Emergency,Resource Availability,Emergency_Bed_Availability_Rate_Pct,%,higher,90.0,61.78
2025,9,September,Emergency,Resource Availability,Emergency_Bed_Availability_Rate_Pct,%,higher,90.0,56.6
2025,10,October,Emergency,Resource Availability,Emergency_Bed_Availability_Rate_Pct,%,higher,90.0,58.88
2025,11,November,Emergency,Resource Availability,Emergency_Bed_Availability_Rate_Pct,%,higher,90.0,54.94
2025,12,December,Emergency,Resource Availability,Emergency_Bed_Availability_Rate_Pct,%,higher,90.0,54.81
2023,1,January,Emergency,Quality & Safety,Emergency_Case_Fatality_Rate_Pct,%,lower,1.0,1.08
2023,2,February,Emergency,Quality & Safety,Emergency_Case_Fatality_Rate_Pct,%,lower,1.0,0.98
2023,3,March,Emergency,Quality & Safety,Emergency_Case_Fatality_Rate_Pct,%,lower,1.0,0.99
2023,4,April,Emergency,Quality & Safety,Emergency_Case_Fatality_Rate_Pct,%,lower,1.0,1.21
2023,5,May,Emergency,Quality & Safety,Emergency_Case_Fatality_Rate_Pct,%,lower,1.0,1.23
2023,6,June,Emergency,Quality & Safety,Emergency_Case_Fatality_Rate_Pct,%,lower,1.0,1.21
2023,7,July,Emergency,Quality & Safety,Emergency_Case_Fatality_Rate_Pct,%,lower,1.0,1.03
2023,8,August,Emergency,Quality & Safety,Emergency_Case_Fatality_Rate_Pct,%,lower,1.0,1.17
2023,9,September,Emergency,Quality & Safety,Emergency_Case_Fatality_Rate_Pct,%,lower,1.0,1.16
2023,10,October,Emergency,Quality & Safety,Emergency_Case_Fatality_Rate_Pct,%,lower,1.0,1.18
2023,11,November,Emergency,Quality & Safety,Emergency_Case_Fatality_Rate_Pct,%,lower,1.0,1.29
2023,12,December,Emergency,Quality & Safety,Emergency_Case_Fatality_Rate_Pct,%,lower,1.0,1.2
2024,1,January,Emergency,Quality & Safety,Emergency_Case_Fatality_Rate_Pct,%,lower,1.0,1.27
2024,2,February,Emergency,Quality & Safety,Emergency_Case_Fatality_Rate_Pct,%,lower,1.0,1.18
2024,3,March,Emergency,Quality & Safety,Emergency_Case_Fatality_Rate_Pct,%,lower,1.0,1.22
2024,4,April,Emergency,Quality & Safety,Emergency_Case_Fatality_Rate_Pct,%,lower,1.0,1.28
2024,5,May,Emergency,Quality & Safety,Emergency_Case_Fatality_Rate_Pct,%,lower,1.0,0.97
2024,6,June,Emergency,Quality & Safety,Emergency_Case_Fatality_Rate_Pct,%,lower,1.0,1.15
2024,7,July,Emergency,Quality & Safety,Emergency_Case_Fatality_Rate_Pct,%,lower,1.0,1.13
2024,8,August,Emergency,Quality & Safety,Emergency_Case_Fatality_Rate_Pct,%,lower,1.0,1.11
2024,9,September,Emergency,Quality & Safety,Emergency_Case_Fatality_Rate_Pct,%,lower,1.0,1.17
2024,10,October,Emergency,Quality & Safety,Emergency_Case_Fatality_Rate_Pct,%,lower,1.0,1.44
2024,11,November,Emergency,Quality & Safety,Emergency_Case_Fatality_Rate_Pct,%,lower,1.0,1.1
2024,12,December,Emergency,Quality & Safety,Emergency_Case_Fatality_Rate_Pct,%,lower,1.0,1.38
2025,1,January,Emergency,Quality & Safety,Emergency_Case_Fatality_Rate_Pct,%,lower,1.0,0.98
2025,2,February,Emergency,Quality & Safety,Emergency_Case_Fatality_Rate_Pct,%,lower,1.0,1.19
2025,3,March,Emergency,Quality & Safety,Emergency_Case_Fatality_Rate_Pct,%,lower,1.0,1.27
2025,4,April,Emergency,Quality & Safety,Emergency_Case_Fatality_Rate_Pct,%,lower,1.0,1.34
2025,5,May,Emergency,Quality & Safety,Emergency_Case_Fatality_Rate_Pct,%,lower,1.0,1.37
2025,6,June,Emergency,Quality & Safety,Emergency_Case_Fatality_Rate_Pct,%,lower,1.0,1.38
2025,7,July,Emergency,Quality & Safety,Emergency_Case_Fatality_Rate_Pct,%,lower,1.0,1.22
2025,8,August,Emergency,Quality & Safety,Emergency_Case_Fatality_Rate_Pct,%,lower,1.0,1.21
2025,9,September,Emergency,Quality & Safety,Emergency_Case_Fatality_Rate_Pct,%,lower,1.0,1.41
2025,10,October,Emergency,Quality & Safety,Emergency_Case_Fatality_Rate_Pct,%,lower,1.0,1.26
2025,11,November,Emergency,Quality & Safety,Emergency_Case_Fatality_Rate_Pct,%,lower,1.0,1.1
2025,12,December,Emergency,Quality & Safety,Emergency_Case_Fatality_Rate_Pct,%,lower,1.0,1.13
2023,1,January,Facility-Wide,Data Quality,HMIS_Reporting_Completeness_Pct,%,higher,100.0,98.0
2023,2,February,Facility-Wide,Data Quality,HMIS_Reporting_Completeness_Pct,%,higher,100.0,97.93
2023,3,March,Facility-Wide,Data Quality,HMIS_Reporting_Completeness_Pct,%,higher,100.0,95.74
2023,4,April,Facility-Wide,Data Quality,HMIS_Reporting_Completeness_Pct,%,higher,100.0,96.72
2023,5,May,Facility-Wide,Data Quality,HMIS_Reporting_Completeness_Pct,%,higher,100.0,92.61
2023,6,June,Facility-Wide,Data Quality,HMIS_Reporting_Completeness_Pct,%,higher,100.0,94.55
2023,7,July,Facility-Wide,Data Quality,HMIS_Reporting_Completeness_Pct,%,higher,100.0,95.9
2023,8,August,Facility-Wide,Data Quality,HMIS_Reporting_Completeness_Pct,%,higher,100.0,94.79
2023,9,September,Facility-Wide,Data Quality,HMIS_Reporting_Completeness_Pct,%,higher,100.0,97.53
2023,10,October,Facility-Wide,Data Quality,HMIS_Reporting_Completeness_Pct,%,higher,100.0,99.51
2023,11,November,Facility-Wide,Data Quality,HMIS_Reporting_Completeness_Pct,%,higher,100.0,94.81
2023,12,December,Facility-Wide,Data Quality,HMIS_Reporting_Completeness_Pct,%,higher,100.0,95.37
2024,1,January,Facility-Wide,Data Quality,HMIS_Reporting_Completeness_Pct,%,higher,100.0,97.04
2024,2,February,Facility-Wide,Data Quality,HMIS_Reporting_Completeness_Pct,%,higher,100.0,99.16
2024,3,March,Facility-Wide,Data Quality,HMIS_Reporting_Completeness_Pct,%,higher,100.0,94.97
2024,4,April,Facility-Wide,Data Quality,HMIS_Reporting_Completeness_Pct,%,higher,100.0,97.23
2024,5,May,Facility-Wide,Data Quality,HMIS_Reporting_Completeness_Pct,%,higher,100.0,99.65
2024,6,June,Facility-Wide,Data Quality,HMIS_Reporting_Completeness_Pct,%,higher,100.0,94.49
2024,7,July,Facility-Wide,Data Quality,HMIS_Reporting_Completeness_Pct,%,higher,100.0,95.11
2024,8,August,Facility-Wide,Data Quality,HMIS_Reporting_Completeness_Pct,%,higher,100.0,96.45
2024,9,September,Facility-Wide,Data Quality,HMIS_Reporting_Completeness_Pct,%,higher,100.0,96.36
2024,10,October,Facility-Wide,Data Quality,HMIS_Reporting_Completeness_Pct,%,higher,100.0,98.42
2024,11,November,Facility-Wide,Data Quality,HMIS_Reporting_Completeness_Pct,%,higher,100.0,97.62
2024,12,December,Facility-Wide,Data Quality,HMIS_Reporting_Completeness_Pct,%,higher,100.0,94.65
2025,1,January,Facility-Wide,Data Quality,HMIS_Reporting_Completeness_Pct,%,higher,100.0,98.14
2025,2,February,Facility-Wide,Data Quality,HMIS_Reporting_Completeness_Pct,%,higher,100.0,96.56
2025,3,March,Facility-Wide,Data Quality,HMIS_Reporting_Completeness_Pct,%,higher,100.0,99.4
2025,4,April,Facility-Wide,Data Quality,HMIS_Reporting_Completeness_Pct,%,higher,100.0,96.6
2025,5,May,Facility-Wide,Data Quality,HMIS_Reporting_Completeness_Pct,%,higher,100.0,96.65
2025,6,June,Facility-Wide,Data Quality,HMIS_Reporting_Completeness_Pct,%,higher,100.0,98.47
2025,7,July,Facility-Wide,Data Quality,HMIS_Reporting_Completeness_Pct,%,higher,100.0,98.86
2025,8,August,Facility-Wide,Data Quality,HMIS_Reporting_Completeness_Pct,%,higher,100.0,98.44
2025,9,September,Facility-Wide,Data Quality,HMIS_Reporting_Completeness_Pct,%,higher,100.0,95.3
2025,10,October,Facility-Wide,Data Quality,HMIS_Reporting_Completeness_Pct,%,higher,100.0,98.69
